Valeur fonciere,Surface reelle bati,Commune,Code postal,Date mutation,Nature mutation,prix_au_m2,mois,trimestre,categorie_prix,categorie_surface
279000.0,91,BOURGOIN-JALLIEU,38300,2023-07-11,Vente,3065.93,7,3,250k-500k,80-120 m²
250000.0,62,ST-HERBLAIN,44800,2023-04-24,Vente,4032.26,4,2,250k-500k,50-80 m²
165000.0,66,DAX,40100,2023-07-07,Vente,2500.0,7,3,100k-250k,50-80 m²
132000.0,20,ROSCANVEL,29570,2023-06-30,Vente,6600.0,6,2,100k-250k,<30 m²
115000.0,28,DEUIL LA BARRE,95170,2023-11-07,Vente,4107.14,11,4,100k-250k,<30 m²
239800.0,120,OUGNEY,39350,2023-07-25,Vente,1998.33,7,3,100k-250k,>120 m²
460150.0,96,MESNIL-SAINT-DENIS (LE),78320,2023-08-31,Vente,4793.23,8,3,250k-500k,80-120 m²
298000.0,64,GRASSE,6130,2023-01-24,Vente,4656.25,1,1,250k-500k,50-80 m²
18500000.0,94,VILLENEUVE-SAINT-GEORGES,94190,2023-11-21,Vente,196808.51,11,4,>1M,80-120 m²
406000.0,81,VILLENAVE D ORNON,33140,2023-07-04,Vente,5012.35,7,3,250k-500k,80-120 m²
727000.0,145,SAINT-JEAN-DE-MOIRANS,38430,2023-04-04,Vente,5013.79,4,2,500k-1M,>120 m²
148580.0,84,BESANCON,25000,2023-07-28,Vente,1768.81,7,3,100k-250k,80-120 m²
400310.0,107,TREDION,56250,2023-06-06,Vente,3741.21,6,2,250k-500k,80-120 m²
1058490.0,52,MESCHERS-SUR-GIRONDE,17132,2023-02-09,Vente,20355.58,2,1,>1M,50-80 m²
218350.0,50,METABIEF,25370,2023-12-19,Vente,4367.0,12,4,100k-250k,50-80 m²
76000.0,33,VIENNE,38200,2023-02-27,Vente,2303.03,2,1,<100k,30-50 m²
544305.0,55,SAINT-VERAN,5350,2023-11-10,Vente,9896.45,11,4,500k-1M,50-80 m²
105000.0,49,CHATILLON-SUR-CHALARONNE,1400,2023-09-12,Vente,2142.86,9,3,100k-250k,30-50 m²
1400000.0,31,NICE,6200,2023-05-22,Vente,45161.29,5,2,>1M,30-50 m²
13171000.0,129,ARGENTEUIL,95100,2023-12-18,Vente,102100.78,12,4,>1M,>120 m²
150000.0,97,LANGOIRAN,33550,2023-01-20,Vente,1546.39,1,1,100k-250k,80-120 m²
96000.0,30,CARRY-LE-ROUET,13620,2023-03-02,Vente,3200.0,3,1,<100k,30-50 m²
225000.0,92,SAINT-LEGER-DU-BOURG-DENIS,76160,2023-01-31,Vente,2445.65,1,1,100k-250k,80-120 m²
431000.0,156,GENECH,59242,2023-04-07,Vente,2762.82,4,2,250k-500k,>120 m²
160000.0,46,SAINT-GILLES-CROIX-DE-VIE,85800,2023-04-14,Vente,3478.26,4,2,100k-250k,30-50 m²
630000.0,87,PARIS 16,75016,2023-07-28,Vente,7241.38,7,3,500k-1M,80-120 m²
70041.0,52,SENTEIN,9800,2023-08-01,Vente,1346.94,8,3,<100k,50-80 m²
100500.0,42,GRENOBLE,38000,2023-05-04,Vente,2392.86,5,2,100k-250k,30-50 m²
255000.0,91,GALARGUES,34160,2023-09-29,Vente,2802.2,9,3,250k-500k,80-120 m²
125000.0,55,AMIENS,80000,2023-12-06,Vente,2272.73,12,4,100k-250k,50-80 m²
280000.0,293,BERMICOURT,62130,2023-03-07,Vente,955.63,3,1,250k-500k,>120 m²
120000.0,73,BERGERAC,24100,2023-04-06,Vente,1643.84,4,2,100k-250k,50-80 m²
318000.0,108,BOIS GUILLAUME,76230,2023-09-19,Vente,2944.44,9,3,250k-500k,80-120 m²
90000.0,62,AMIENS,80000,2023-06-05,Vente,1451.61,6,2,<100k,50-80 m²
130000.0,75,FORT DE FRANCE,97200,2023-06-20,Vente,1733.33,6,2,100k-250k,50-80 m²
150000.0,61,SAINT-MALO,35400,2023-06-19,Vente,2459.02,6,2,100k-250k,50-80 m²
200000.0,34,CABOURG,14390,2023-01-21,Vente,5882.35,1,1,100k-250k,30-50 m²
1735000.0,230,NOGENT-SUR-MARNE,94130,2023-04-27,Vente,7543.48,4,2,>1M,>120 m²
282000.0,50,ANTIBES,6600,2023-09-22,Vente,5640.0,9,3,250k-500k,50-80 m²
490000.0,99,PALAISEAU,91120,2023-03-28,Vente,4949.49,3,1,250k-500k,80-120 m²
45000.0,80,LONGUYON,54260,2023-07-25,Vente,562.5,7,3,<100k,80-120 m²
385200.0,95,TOURS,37100,2023-05-04,Vente,4054.74,5,2,250k-500k,80-120 m²
4500000.0,1225,SEVRIER,74320,2023-11-06,Vente,3673.47,11,4,>1M,>120 m²
48000.0,39,CARCASSONNE,11000,2023-10-19,Vente,1230.77,10,4,<100k,30-50 m²
195000.0,36,BOULOGNE-BILLANCOURT,92100,2023-11-02,Vente,5416.67,11,4,100k-250k,30-50 m²
234542.0,80,JOUE LES TOURS,37300,2023-06-15,Vente,2931.78,6,2,100k-250k,80-120 m²
116000.0,78,SAINT-JEAN-BONNEFONDS,42650,2023-02-27,Vente,1487.18,2,1,100k-250k,50-80 m²
228000.0,302,MELUN,77000,2023-04-13,Vente,754.97,4,2,100k-250k,>120 m²
178000.0,100,GRAULHET,81300,2023-09-06,Vente,1780.0,9,3,100k-250k,80-120 m²
87000.0,52,ST LAURENT DE LA SALANQUE,66250,2023-05-02,Vente,1673.08,5,2,<100k,50-80 m²
210000.0,171,GORRON,53120,2023-11-10,Vente,1228.07,11,4,100k-250k,>120 m²
230000.0,40,LUCINGES,74380,2023-10-04,Vente,5750.0,10,4,100k-250k,30-50 m²
350000.0,101,LE HAVRE,76600,2023-08-09,Vente,3465.35,8,3,250k-500k,80-120 m²
93100.0,52,VALREAS,84600,2023-11-29,Vente,1790.38,11,4,<100k,50-80 m²
158350.0,66,LUNEL,34400,2023-06-28,Vente,2399.24,6,2,100k-250k,50-80 m²
22500.0,20,LA BIGOTTIERE,53240,2023-03-30,Vente,1125.0,3,1,<100k,<30 m²
298450.0,83,LILLE,59160,2023-06-26,Vente,3595.78,6,2,250k-500k,80-120 m²
287000.0,54,CAGNES SUR MER,6800,2023-04-14,Vente,5314.81,4,2,250k-500k,50-80 m²
310000.0,63,NANTES,44100,2023-11-16,Vente,4920.63,11,4,250k-500k,50-80 m²
194000.0,120,MARSAIS,17700,2023-01-25,Vente,1616.67,1,1,100k-250k,>120 m²
7465000.0,49,SARRANCOLIN,65410,2023-12-29,Vente,152346.94,12,4,>1M,30-50 m²
165000.0,46,ST SEBASTIEN SUR LOIRE,44230,2023-11-09,Vente,3586.96,11,4,100k-250k,30-50 m²
600000.0,141,BATZ-SUR-MER,44740,2023-07-06,Vente,4255.32,7,3,500k-1M,>120 m²
9000000.0,66,PARIS 06,75006,2023-10-05,Adjudication,136363.64,10,4,>1M,50-80 m²
1193790.0,162,SAINT MARTIN,97150,2023-06-01,Vente,7369.07,6,2,>1M,>120 m²
266000.0,157,ST-ETIENNE-DE-TULMONT,82410,2023-06-02,Vente,1694.27,6,2,250k-500k,>120 m²
5300000.0,302,MOUGINS,6250,2023-01-10,Vente,17549.67,1,1,>1M,>120 m²
703500.0,180,NIMES,30900,2023-12-29,Vente,3908.33,12,4,500k-1M,>120 m²
345000.0,123,LA CRECHE,79260,2023-06-22,Vente,2804.88,6,2,250k-500k,>120 m²
249630.0,90,EBATY,21190,2023-09-16,Vente,2773.67,9,3,100k-250k,80-120 m²
350000.0,52,PANTIN,93500,2023-04-13,Vente,6730.77,4,2,250k-500k,50-80 m²
361000.0,82,LYON 1ER,69001,2023-03-10,Vente,4402.44,3,1,250k-500k,80-120 m²
5820969.5,70,SAINT-ANDRE,97440,2023-04-11,Vente,83156.71,4,2,>1M,50-80 m²
290000.0,270,DOUVAINE,74140,2023-02-23,Vente,1074.07,2,1,250k-500k,>120 m²
113400.0,95,CHATEAUDUN,28200,2023-03-07,Vente,1193.68,3,1,100k-250k,80-120 m²
185000.0,80,SAMATAN,32130,2023-03-16,Vente,2312.5,3,1,100k-250k,80-120 m²
233947.0,121,MAYENNE,53100,2023-03-29,Vente,1933.45,3,1,100k-250k,>120 m²
161878.0,25,THIERS,63300,2023-09-26,Vente,6475.12,9,3,100k-250k,<30 m²
95000.0,74,CRECY-EN-PONTHIEU,80150,2023-07-12,Vente,1283.78,7,3,<100k,50-80 m²
387000.0,105,SAINT PIERRE,97432,2023-07-04,Vente,3685.71,7,3,250k-500k,80-120 m²
110000.0,378,HENRICHEMONT,18250,2023-06-03,Vente,291.01,6,2,100k-250k,>120 m²
220000.0,154,KERNASCLEDEN,56540,2023-04-11,Vente,1428.57,4,2,100k-250k,>120 m²
2350000.0,120,PARIS 16,75016,2023-02-28,Vente,19583.33,2,1,>1M,>120 m²
2873000.0,32,CANNES,6400,2023-06-14,Vente,89781.25,6,2,>1M,30-50 m²
108000.0,19,ST MAXIMIN LA STE BAUME,83470,2023-06-27,Vente,5684.21,6,2,100k-250k,<30 m²
484000.0,40,GOUVIEUX,60270,2023-08-22,Vente,12100.0,8,3,250k-500k,30-50 m²
118000.0,53,PERPIGNAN,66000,2023-01-12,Vente,2226.42,1,1,100k-250k,50-80 m²
60500.0,49,LA LOUPE,28240,2023-07-21,Vente,1234.69,7,3,<100k,30-50 m²
90000.0,54,ATTIGNY,88260,2023-07-21,Vente,1666.67,7,3,<100k,50-80 m²
80000.0,85,PERPIGNAN,66100,2023-03-23,Vente,941.18,3,1,<100k,80-120 m²
239284.0,96,VERNEUIL-SUR-VIENNE,87430,2023-09-05,Vente,2492.54,9,3,100k-250k,80-120 m²
295000.0,55,NICE,6300,2023-09-06,Vente,5363.64,9,3,250k-500k,50-80 m²
1055370.0,208,FREJUS,83600,2023-01-11,Vente,5073.89,1,1,>1M,>120 m²
176505.0,32,VILLENEUVE-LOUBET,6270,2023-10-27,Vente,5515.78,10,4,100k-250k,30-50 m²
30000.0,137,CUFFY,18150,2023-06-16,Vente,218.98,6,2,<100k,>120 m²
587005.0,182,BAZENS,47130,2023-03-13,Vente,3225.3,3,1,500k-1M,>120 m²
180000.0,47,ERMONT,95120,2023-02-22,Vente,3829.79,2,1,100k-250k,30-50 m²
163556.84,86,ALLEMANS-DU-DROPT,47800,2023-02-01,Vente,1901.82,2,1,100k-250k,80-120 m²
530000.0,32,VALLAURIS,6220,2023-03-23,Vente,16562.5,3,1,500k-1M,30-50 m²
28000.0,30,GARDANNE,13120,2023-06-21,Vente,933.33,6,2,<100k,30-50 m²
53000.0,80,BAUME LES DAMES,25110,2023-04-03,Vente,662.5,4,2,<100k,80-120 m²
800000.0,85,PAMIERS,9100,2023-11-14,Vente,9411.76,11,4,500k-1M,80-120 m²
288000.0,20,VALENCIENNES,59300,2023-06-09,Vente,14400.0,6,2,250k-500k,<30 m²
206810.0,82,SAINT-CHAMOND,42400,2023-10-09,Vente,2522.07,10,4,100k-250k,80-120 m²
313203.0,81,CERGY,95000,2023-10-20,Vente en l'état futur d'achèvement,3866.7,10,4,250k-500k,80-120 m²
105000.0,160,COUVAINS,50680,2023-07-11,Vente,656.25,7,3,100k-250k,>120 m²
184000.0,94,AZAY LE RIDEAU,37190,2023-05-25,Vente,1957.45,5,2,100k-250k,80-120 m²
94250.0,20,ROUEN,76000,2023-08-24,Vente,4712.5,8,3,<100k,<30 m²
331000.0,64,BAGNEUX,92220,2023-02-13,Vente,5171.88,2,1,250k-500k,50-80 m²
426708.0,89,MIONS,69780,2023-06-26,Vente,4794.47,6,2,250k-500k,80-120 m²
79500.0,34,REIMS,51100,2023-10-19,Vente,2338.24,10,4,<100k,30-50 m²
1643439.6,53,BESANCON,25000,2023-02-06,Vente,31008.29,2,1,>1M,50-80 m²
213300.0,14,DUNKERQUE,59240,2023-12-29,Vente,15235.71,12,4,100k-250k,<30 m²
8050.0,39,LES BELLEVILLE,73440,2023-05-11,Vente,206.41,5,2,<100k,30-50 m²
175000.0,40,ROSNY-SOUS-BOIS,93110,2023-03-31,Vente,4375.0,3,1,100k-250k,30-50 m²
220000.0,64,MONTFERRAND,11320,2023-09-19,Vente,3437.5,9,3,100k-250k,50-80 m²
258000.0,29,BRY-SUR-MARNE,94360,2023-06-29,Vente en l'état futur d'achèvement,8896.55,6,2,250k-500k,<30 m²
322000.0,14,PARIS 13,75013,2023-05-26,Vente,23000.0,5,2,250k-500k,<30 m²
39000.0,56,MOULINS-ENGILBERT,58290,2023-01-05,Vente,696.43,1,1,<100k,50-80 m²
630000.0,18,REIMS,51100,2023-06-12,Vente,35000.0,6,2,500k-1M,<30 m²
188500.0,88,BEAUVAIS,60000,2023-03-02,Vente,2142.05,3,1,100k-250k,80-120 m²
226700.0,76,CONCARNEAU,29900,2023-09-29,Vente,2982.89,9,3,100k-250k,50-80 m²
242300.0,74,PONT-SALOMON,43330,2023-07-05,Vente,3274.32,7,3,100k-250k,50-80 m²
351500.0,15,MANTES-LA-JOLIE,78200,2023-02-25,Vente,23433.33,2,1,250k-500k,<30 m²
120000.0,50,SAINT DENIS,97490,2023-12-14,Vente,2400.0,12,4,100k-250k,50-80 m²
117500.0,139,MARRAY,37370,2023-02-22,Vente,845.32,2,1,100k-250k,>120 m²
295000.0,118,SARLAT-LA-CANEDA,24200,2023-10-20,Vente,2500.0,10,4,250k-500k,80-120 m²
170000.0,68,COURBEPINE,27300,2023-10-12,Vente,2500.0,10,4,100k-250k,50-80 m²
177650.0,89,PERPIGNAN,66000,2023-08-29,Vente,1996.07,8,3,100k-250k,80-120 m²
110000.0,85,NOILHAN,32130,2023-05-24,Vente,1294.12,5,2,100k-250k,80-120 m²
187000.0,87,LIMOGES,87280,2023-06-23,Vente,2149.43,6,2,100k-250k,80-120 m²
132900.0,66,LIBERCOURT,62820,2023-04-19,Vente,2013.64,4,2,100k-250k,50-80 m²
225000.0,75,LE CANNET DES MAURES,83340,2023-03-22,Vente,3000.0,3,1,100k-250k,50-80 m²
141000.0,90,SEYSSEL,74910,2023-09-25,Vente,1566.67,9,3,100k-250k,80-120 m²
170000.0,86,PAU,64000,2023-08-09,Vente,1976.74,8,3,100k-250k,80-120 m²
170000.0,41,MEGEVE,74120,2023-06-23,Vente,4146.34,6,2,100k-250k,30-50 m²
259000.0,140,DOMMARTIN-LES-REMIREMONT,88200,2023-05-30,Vente,1850.0,5,2,250k-500k,>120 m²
540000.0,55,ROUEN,76000,2023-06-08,Vente,9818.18,6,2,500k-1M,50-80 m²
177000.0,85,COURS-DE-PILE,24520,2023-01-05,Vente,2082.35,1,1,100k-250k,80-120 m²
48000.0,46,LIVRE-SUR-CHANGEON,35450,2023-09-08,Vente,1043.48,9,3,<100k,30-50 m²
129500.0,60,VOUJEAUCOURT,25420,2023-12-20,Vente,2158.33,12,4,100k-250k,50-80 m²
90000.0,26,FLEURY,11560,2023-01-20,Vente,3461.54,1,1,<100k,<30 m²
175000.0,121,NANCY,54000,2023-09-01,Vente,1446.28,9,3,100k-250k,>120 m²
170000.0,87,MOIRANS-EN-MONTAGNE,39260,2023-01-16,Vente,1954.02,1,1,100k-250k,80-120 m²
195857.17,83,LE BOURGET DU LAC,73370,2023-11-23,Vente,2359.72,11,4,100k-250k,80-120 m²
350000.0,90,SAINT-ROMAIN-DE-BENET,17600,2023-12-01,Vente,3888.89,12,4,250k-500k,80-120 m²
238501.0,41,BAGNEUX,92220,2023-05-26,Vente en l'état futur d'achèvement,5817.1,5,2,100k-250k,30-50 m²
230000.0,85,MATOUGUES,51510,2023-05-05,Vente,2705.88,5,2,100k-250k,80-120 m²
430000.0,103,JUVIGNAC,34990,2023-08-09,Vente,4174.76,8,3,250k-500k,80-120 m²
95000.0,60,PERONNE,80200,2023-02-28,Vente,1583.33,2,1,<100k,50-80 m²
550000.0,57,PARIS 11,75011,2023-04-21,Vente,9649.12,4,2,500k-1M,50-80 m²
124200.0,76,VAL D'ARCOMIE,15320,2023-04-14,Vente,1634.21,4,2,100k-250k,50-80 m²
173000.0,74,BERTHENICOURT,2240,2023-05-23,Vente,2337.84,5,2,100k-250k,50-80 m²
211500.0,76,AGDE,34300,2023-10-16,Vente,2782.89,10,4,100k-250k,50-80 m²
276400.0,124,MONTIGNY-SUR-VESLE,51140,2023-07-13,Vente,2229.03,7,3,250k-500k,>120 m²
3500000.0,34,ROQUEBRUNE CAP MARTIN,6190,2023-02-27,Vente,102941.18,2,1,>1M,30-50 m²
55000.0,75,CHATELLERAULT,86100,2023-06-06,Vente,733.33,6,2,<100k,50-80 m²
165000.0,109,MISY-SUR-YONNE,77130,2023-12-05,Vente,1513.76,12,4,100k-250k,80-120 m²
87895.0,89,OMBREE D'ANJOU,49520,2023-09-22,Vente,987.58,9,3,<100k,80-120 m²
275000.0,150,SAINT-ETIENNE-DU-BOIS,1370,2023-08-28,Vente,1833.33,8,3,250k-500k,>120 m²
90000.0,75,PLOUHINEC,56680,2023-11-03,Vente,1200.0,11,4,<100k,50-80 m²
121750.0,87,LA SEYNE SUR MER,83500,2023-06-01,Vente,1399.43,6,2,100k-250k,80-120 m²
